camera model,selection1_url,$,selection1_selection2_url
Leica CL Paul Smith Edition,https://www.price.com.hk/product.php?p=433408&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=35800&tr_pp=1&tr_pn=1&tr_ti=15&tr_ct=2&tr_h=12506078445def20058573e7_54347885&tr_vt=1,"35,800",https://www.price.com.hk/product.php?p=433408&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=35800&tr_pp=1&tr_pn=1&tr_ti=15&tr_ct=3&tr_h=12506078445def20058573e7_54347885&tr_vt=1
"Leica CL ""100 Jahre Bauhaus - Bauhaus Museum Dessau"" Black",https://www.price.com.hk/product.php?p=432734&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=29000&tr_pp=2&tr_pn=1&tr_ti=15&tr_ct=2&tr_h=12506078445def20058573e7_54347885&tr_vt=1,"29,000",https://www.price.com.hk/product.php?p=432734&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=29000&tr_pp=2&tr_pn=1&tr_ti=15&tr_ct=4&tr_h=12506078445def20058573e7_54347885&tr_vt=1
SJCAM SJ9 Strike,https://www.price.com.hk/product.php?p=431621&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=1980&tr_pp=3&tr_pn=1&tr_ti=15&tr_ct=2&tr_h=12506078445def20058573e7_54347885&tr_vt=1,"1,980",https://www.price.com.hk/product.php?p=431621&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=1980&tr_pp=3&tr_pn=1&tr_ti=15&tr_ct=3&tr_h=12506078445def20058573e7_54347885&tr_vt=1
Sony RX100 VII (M7),https://www.price.com.hk/product.php?p=418848&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=8370&tr_pp=4&tr_pn=1&tr_ti=15&tr_ct=2&tr_h=12506078445def20058573e7_54347885&tr_vt=1,"8,780",https://www.price.com.hk/product.php?p=418848&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=8370&tr_pp=4&tr_pn=1&tr_ti=15&tr_ct=3&tr_h=12506078445def20058573e7_54347885&tr_vt=1
Ricoh GR III,https://www.price.com.hk/product.php?p=390594&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=6250&tr_pp=5&tr_pn=1&tr_ti=15&tr_ct=2&tr_h=12506078445def20058573e7_54347885&tr_vt=1,"7,290",https://www.price.com.hk/product.php?p=390594&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=6250&tr_pp=5&tr_pn=1&tr_ti=15&tr_ct=3&tr_h=12506078445def20058573e7_54347885&tr_vt=1
Canon PowerShot G7 X Mark III,https://www.price.com.hk/product.php?p=418177&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=4580&tr_pp=6&tr_pn=1&tr_ti=15&tr_ct=2&tr_h=12506078445def20058573e7_54347885&tr_vt=1,"5,060",https://www.price.com.hk/product.php?p=418177&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=4580&tr_pp=6&tr_pn=1&tr_ti=15&tr_ct=3&tr_h=12506078445def20058573e7_54347885&tr_vt=1
Olympus 輕便數碼相機 Tough TG-6,https://www.price.com.hk/product.php?p=414245&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=3050&tr_pp=7&tr_pn=1&tr_ti=15&tr_ct=2&tr_h=12506078445def20058573e7_54347885&tr_vt=1,"3,990",https://www.price.com.hk/product.php?p=414245&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=3050&tr_pp=7&tr_pn=1&tr_ti=15&tr_ct=3&tr_h=12506078445def20058573e7_54347885&tr_vt=1
Sony RX100 VI,https://www.price.com.hk/product.php?p=324778&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=6640&tr_pp=8&tr_pn=1&tr_ti=15&tr_ct=2&tr_h=12506078445def20058573e7_54347885&tr_vt=1,"7,520",https://www.price.com.hk/product.php?p=324778&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=6640&tr_pp=8&tr_pn=1&tr_ti=15&tr_ct=3&tr_h=12506078445def20058573e7_54347885&tr_vt=1
Canon PowerShot G7 X Mark II,https://www.price.com.hk/product.php?p=226140&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=3200&tr_pp=9&tr_pn=1&tr_ti=15&tr_ct=2&tr_h=12506078445def20058573e7_54347885&tr_vt=1,"3,380",https://www.price.com.hk/product.php?p=226140&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=3200&tr_pp=9&tr_pn=1&tr_ti=15&tr_ct=3&tr_h=12506078445def20058573e7_54347885&tr_vt=1
Leica Q2,https://www.price.com.hk/product.php?p=390920&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=44800&tr_pp=10&tr_pn=1&tr_ti=15&tr_ct=2&tr_h=12506078445def20058573e7_54347885&tr_vt=1,"47,000",https://www.price.com.hk/product.php?p=390920&gp=13&tr_so=w&tr_ref=cat_100001&tr_op=44800&tr_pp=10&tr_pn=1&tr_ti=15&tr_ct=3&tr_h=12506078445def20058573e7_54347885&tr_vt=1
